,team,meanRho,points,finalResults
0,RNG,0.6322679782770736,9,13
1,Team Liquid,0.6406567327622391,13,3
2,EG,0.6164661637577923,14,9
3,Soniqs,0.6134251608526547,5,17
4,Hokori,0.6457798702326608,9,13
5,PSG.LGD,0.6067620531675163,12,5
6,Gaimin Gladiators,0.6603837023328896,8,9
7,BetBoom Team,0.6541874551484731,5,17
8,BOOM Esports,0.6652787649734705,5,9
9,OG,0.632375520467916,10,7
10,Thunder Awaken,0.6443995390063704,10,5
11,Team Secret,0.6103094740040332,13,2
12,beastcoast,0.6386029191981973,8,7
13,Entity,0.6261925322059053,6,9
14,Fnatic,0.6549450356543431,9,13
15,Team Spirit,0.6196784423561588,9,13
16,Tundra Esports,0.6460081637410594,14,1
17,Team Aster,0.6288301160774376,10,4
18,Talon,0.6365398825754561,6,17
19,TSM,0.6067669332487463,5,17
