,team,meanRho,points,finalResults
0,RNG,0.6597397115632201,9,13
1,Team Liquid,0.6166120244491489,13,3
2,EG,0.5915697542917214,14,9
3,Soniqs,0.6292971957967384,5,17
4,Hokori,0.6196394360211959,9,13
5,PSG.LGD,0.5916846189236858,12,5
6,Gaimin Gladiators,0.6503448047342656,8,9
7,BetBoom Team,0.6342924233457145,5,17
8,BOOM Esports,0.6487763192529584,5,9
9,OG,0.6295402393379637,10,7
10,Thunder Awaken,0.6205018028753947,10,5
11,Team Secret,0.633674375580697,13,2
12,beastcoast,0.6238880668291438,8,7
13,Entity,0.6233268880216442,6,9
14,Fnatic,0.6149533452754927,9,13
15,Team Spirit,0.6161836360690023,9,13
16,Tundra Esports,0.6094857236549696,14,1
17,Team Aster,0.6356549770791546,10,4
18,Talon,0.6702746722110277,6,17
19,TSM,0.6096761875625119,5,17
