,team,meanRho,points,finalResults
0,TSM,0.6139057640996115,9,13
1,Virtus.pro,0.581469688659033,12,5
2,INVICTUS GAMING,0.5684834581433031,14,4
3,BLEED,0.5711703653799919,10,7
4,Vici Gaming,0.6012097229113731,10,5
5,Fnatic,0.6122380561910946,6,9
6,Team Secret,0.618184632984384,10,3
7,Team Spirit,0.6057560316801981,10,1
8,PSG.LGD,0.5730449654076356,15,2
9,Thiuth Gaming,0.6030241744151197,6,9
10,Neptune Gaming,0.5995706696906046,6,13
11,beastcoast,0.5778884927983673,7,13
12,Thunder Awaken,0.60133892820868,0,17
13,OG,0.5774944359323605,10,7
14,Shopify Rebellion,0.6201148751868627,9,9
15,Alliance,0.5776264821595636,4,9
16,Evil Geniuses,0.6405140983880339,2,17
17,Team Aster,0.6123428090578035,5,13
