,team,meanRho,points,finalResults
0,TSM,0.617518004294528,9,13
1,Virtus.pro,0.6143344417184766,12,5
2,INVICTUS GAMING,0.6163150484079618,14,4
3,BLEED,0.6249979966510928,10,7
4,Vici Gaming,0.6121536982280583,10,5
5,Fnatic,0.6199805169311894,6,9
6,Team Secret,0.6036995453528649,10,3
7,Team Spirit,0.6118682856452143,10,1
8,PSG.LGD,0.6003892500007619,15,2
9,Thiuth Gaming,0.6143742671834505,6,9
10,Neptune Gaming,0.6312738568323227,6,13
11,beastcoast,0.5781673824118493,7,13
12,Thunder Awaken,0.6097134878607892,0,17
13,OG,0.6041767526570005,10,7
14,Shopify Rebellion,0.6199788580229811,9,9
15,Alliance,0.6240326155273416,4,9
16,Evil Geniuses,0.6444296879279259,2,17
17,Team Aster,0.636706661733722,5,13
